model,noise_type,sigma,image,psnr,ssim,lpips,psnr_noisy,ssim_noisy,lpips_noisy,inference_ms
dncnn,gaussian,15,test001.png,28.37091702153511,0.8445049342505615,0.09461000561714172,24.80037145394863,0.751501598855507,0.15315185487270355,1.4803919999394566
vae,gaussian,15,test001.png,20.667480902285593,0.3611950032105094,0.6733623743057251,24.80037145394863,0.751501598855507,0.15315185487270355,40.36661720019765
dncnn,gaussian,15,test002.png,32.63359137345089,0.9193195462963833,0.06817857921123505,25.30919233969851,0.5363002383842902,0.43916022777557373,
vae,gaussian,15,test002.png,24.274450286102432,0.6769357672953333,0.4974430203437805,25.30919233969851,0.5363002383842902,0.43916022777557373,
dncnn,gaussian,15,test003.png,32.494696630347214,0.9017303162473584,0.1645282804965973,24.66049352693986,0.48132859926295457,0.4991615116596222,
vae,gaussian,15,test003.png,22.60341433283651,0.6696010821137127,0.6034079194068909,24.66049352693986,0.48132859926295457,0.4991615116596222,
dncnn,gaussian,15,test004.png,33.221490810394805,0.9085968047971016,0.09467633813619614,24.60508723280714,0.5258671662385701,0.565162181854248,
vae,gaussian,15,test004.png,26.05346120553586,0.6523847261885913,0.5051539540290833,24.60508723280714,0.5258671662385701,0.565162181854248,
dncnn,gaussian,15,test005.png,30.10539632584181,0.8980548012569335,0.10045019537210464,25.17993356739094,0.6738289662752435,0.31794604659080505,
vae,gaussian,15,test005.png,22.36979560511521,0.5189914011964553,0.6095911860466003,25.17993356739094,0.6738289662752435,0.31794604659080505,
dncnn,gaussian,15,test006.png,34.955096888700176,0.9256362626275721,0.1063578873872757,24.949969911801023,0.4335960425126025,0.636900782585144,
vae,gaussian,15,test006.png,28.728690047860287,0.7929895038466594,0.36334457993507385,24.949969911801023,0.4335960425126025,0.636900782585144,
dncnn,gaussian,15,test007.png,31.260088428553885,0.8950796884494517,0.09264445304870605,24.62100046368709,0.6609321035944927,0.33740097284317017,
vae,gaussian,15,test007.png,21.64273127486232,0.4697763143983207,0.6060774922370911,24.62100046368709,0.6609321035944927,0.33740097284317017,
dncnn,gaussian,15,test008.png,29.045232966639052,0.8692162975382586,0.10468588769435883,24.675345440934976,0.7064644819110657,0.2658975422382355,
